E1,E2 (A),E2 (B),E2 (C),E2 (D),E3,E4,E5 (A),E5 (B),E6 (A),E6 (B),E7,E8,E9,E10,E11
0,100,0,0,69.14893617,33.33333333,40,67.01030928,0,100,60,80,60,0,100,100
95.68965517,100,9.375,0,0,29.41176471,100,100,33.33333333,100,100,100,66.66666667,100,100,100
61.9047619,100,0,0,0,44.73684211,100,100,0,100,100,100,0,100,100,100
50.89285714,100,0,0,38.88888889,24.44444444,100,0,2.564102564,100,100,0,0,100,100,100
12.5,100,0,0,98.80952381,0,100,100,0,100,100,100,0,0,100,100
0,100,12.28070175,0,6.329113924,0,0,100,34.44444444,100,100,100,85.71428571,0,100,100
0,100,0,57.14285714,7.5,0,35.23809524,60,0,100,100,100,87.5,0,100,100
0,100,0,0,0,0,65.2173913,100,38.20224719,100,85.71428571,0,0,100,100,100
35.55555556,100,9.708737864,0,0,0,100,100,0,100,100,100,60,0,100,100
0,100,19.58762887,0,0,0,100,100,94.87179487,100,100,100,66.66666667,100,100,100
96.15384615,100,0,0,69.14893617,0,58.02469136,100,61.20689655,100,80.17241379,100,66.66666667,0,100,100
0,100,0,0,26.47058824,0,62.5,100,0,100,100,85.71428571,0,100,50,100
0,100,20,0,0,0,50,75,28.20512821,100,50,100,85.71428571,83.33333333,100,100
0,100,0,0,0,0,100,0,0,100,100,100,100,100,100,100
79.54545455,100,62.74509804,13.54166667,0,72.56637168,56.81818182,100,56,100,100,100,60,100,100,100
0,100,0,85.71428571,0,40,100,100,66.66666667,100,66.66666667,75,66.66666667,100,100,100
0,100,0,71.42857143,0,0,50,49.12280702,71.42857143,100,78.02197802,100,60,100,100,100
0,100,65.55555556,0,79.72972973,0,100,100,0,100,100,100,87.5,83.33333333,100,100
0,100,0,73.41772152,0,97.43589744,100,100,0,100,100,80,60,0,100,100
80.24691358,100,0,0,35.35353535,0,100,0,0,100,100,100,87.5,100,100,100
5.940594059,100,0,0,23.86363636,72.72727273,100,66.66666667,0,100,100,75,60,100,100,100
0,100,83.65384615,85.85858586,0,55.85585586,100,100,49.51456311,100,100,100,60,87.5,100,100
24.10714286,100,0,23.68421053,0,0,100,100,87.5,100,100,100,0,100,100,100
0,100,0,76.13636364,0,0,100,0,27.27272727,100,100,100,87.5,0,100,100
36.03603604,100,66.98113208,0,0,74.02597403,100,100,0,100,100,100,100,100,100,100
87.05882353,100,0,56.14035088,0,0,72.64150943,63,0,100,23.80952381,100,60,100,0,100
0,100,0,65.38461538,0,0,100,100,78.75,100,100,80,50,0,100,100
0,100,28.57142857,97.05882353,0,36.36363636,100,100,32.98969072,100,100,100,0,87.5,100,100
85.52631579,100,35.48387097,0,0,0,100,100,28.08988764,100,100,100,100,100,100,100
46.31578947,100,66.66666667,33.33333333,51.94805195,0,50,25.45454545,0,100,30.6122449,100,100,100,100,100
39.78494624,100,0,0,0,0,100,100,76.40449438,100,42.85714286,87.5,0,100,100,100
0,100,0,0,87.5,0,100,100,0,100,100,100,60,100,100,100
75,100,0,0,0,39.04761905,100,21.42857143,0,100,29.8245614,100,60,87.5,100,100
0,100,0,0,0,0,100,50,0,100,100,0,0,0,100,100
33.62831858,100,57.89473684,0,0,0,100,66.66666667,0,100,100,0,71.42857143,100,100,100
0,100,0,75,35.05154639,48.21428571,100,59.74025974,0,100,100,100,50,100,100,100
0,100,0,0,0,20,100,100,55.55555556,100,0,100,0,80,100,100
0,100,0,0,87.5,0,100,100,39.62264151,100,0,85.71428571,71.42857143,100,100,100
0,100,0,12.5,0,0,100,100,96.66666667,100,100,100,100,100,100,100
31.57894737,100,0,94.79166667,0,22.07792208,50,50,0,100,100,66.66666667,100,100,100,100
0,100,75,0,0,27.55102041,100,66.66666667,87.5,100,100,100,0,100,100,100
0,100,0,47.82608696,47.36842105,20,100,0,75.64102564,100,100,100,60,80,100,100
94.11764706,100,0,48.03921569,75,0,100,50,46,100,28.88888889,80,85.71428571,0,100,100
